code,name,weight,shares
2327,國巨*,2.85,6729000
1303,南亞,0.76,6261000
1326,台化,0.39,5790000
6274,台燿,4.41,4965000
2002,中鋼,0.17,4923000
1815,富喬,0.67,4575000
3037,欣興,2.46,3974000
8046,南電,2.59,3788000
6191,精成科,0.58,3326000
2330,台積電,9.39,2992000
2368,金像電,4.08,2887000
2345,智邦,6.09,2625000
2308,台達電,5.06,2560000
3017,奇鋐,6.36,2352000
1802,台玻,0.15,2065000
3665,貿聯-KY,4.24,1841848
8358,金居,0.79,1826000
2383,台光電,6.36,1809000
6139,亞翔,1.45,1653000
8299,群聯,4.92,1614000
8210,勤誠,2.56,1563000
1319,東陽,0.27,1531000
2449,京元電子,0.64,1260000
6805,富世達,2.89,1094000
3376,新日興,0.34,1044000
6223,旺矽,4.59,988000
3653,健策,5.26,940000
6488,環球晶,0.64,786000
6669,緯穎,4.56,741000
3211,順達,0.27,585000
3661,世芯-KY,2.97,540000
4979,華星光,0.18,329000
3217,優群,0.08,326000
6510,精測,1.55,236000
6515,穎崴,1.89,231000
5274,信驊,2.77,178000
2404,漢唐,0.25,165000
5269,祥碩,0.3,140000
2059,川湖,0.2,40000
3008,大立光,0.01,3000
2884,玉山金,0.0,2010
3045,台灣大,0.0,2000
3583,辛耘,0.0,2000
3711,日月光投控,0.0,2000
2357,華碩,0.0,2000
2439,美律,0.0,2000
3533,嘉澤,0.0,1000
5536,聖暉*,0.0,1000
2313,華通,0.0,1000
2317,鴻海,0.0,1000
2454,聯發科,0.0,1000
8996,高力,0.0,1000
